train-brain-experiment-01a.html:116 ---------------------------------------------------------
train-brain-experiment-01a.html:117 *** Started Learning using 120000 iterations ***
train-brain-experiment-01a.html:118 ---------------------------------------------------------
train-brain-experiment-01a.html:151 # iterations done: 63200, average Reward: 0.0775
train-brain-experiment-01a.html:151 # iterations done: 63600, average Reward: -0.035
train-brain-experiment-01a.html:151 # iterations done: 64000, average Reward: 0.025
train-brain-experiment-01a.html:151 # iterations done: 64400, average Reward: -0.02
train-brain-experiment-01a.html:151 # iterations done: 64800, average Reward: 0.085
train-brain-experiment-01a.html:151 # iterations done: 65200, average Reward: 0.0025
train-brain-experiment-01a.html:151 # iterations done: 65600, average Reward: 0.0175
train-brain-experiment-01a.html:151 # iterations done: 66000, average Reward: 0.055
train-brain-experiment-01a.html:151 # iterations done: 66400, average Reward: 0.0475
train-brain-experiment-01a.html:151 # iterations done: 66800, average Reward: 0.1375
train-brain-experiment-01a.html:151 # iterations done: 67200, average Reward: 0.01
train-brain-experiment-01a.html:151 # iterations done: 67600, average Reward: 0.055
train-brain-experiment-01a.html:151 # iterations done: 68000, average Reward: 0.0025
train-brain-experiment-01a.html:151 # iterations done: 68400, average Reward: 0.0775
train-brain-experiment-01a.html:151 # iterations done: 68800, average Reward: 0.1075
train-brain-experiment-01a.html:151 # iterations done: 69200, average Reward: 0.055
train-brain-experiment-01a.html:151 # iterations done: 69600, average Reward: 0.04
train-brain-experiment-01a.html:151 # iterations done: 70000, average Reward: -0.005
train-brain-experiment-01a.html:151 # iterations done: 70400, average Reward: 0.0925
train-brain-experiment-01a.html:151 # iterations done: 70800, average Reward: 0.055
train-brain-experiment-01a.html:151 # iterations done: 71200, average Reward: 0.0625
train-brain-experiment-01a.html:151 # iterations done: 71600, average Reward: 0.01
train-brain-experiment-01a.html:151 # iterations done: 72000, average Reward: 0.025
train-brain-experiment-01a.html:151 # iterations done: 72400, average Reward: 0.1375
train-brain-experiment-01a.html:151 # iterations done: 72800, average Reward: 0.0475
train-brain-experiment-01a.html:151 # iterations done: 73200, average Reward: 0.16
train-brain-experiment-01a.html:151 # iterations done: 73600, average Reward: 0.1
train-brain-experiment-01a.html:151 # iterations done: 74000, average Reward: 0.0175
