train-brain-experiment-02.html:117 -----------------------------------------------------------------------
train-brain-experiment-02.html:118 *** Started Learning: upto max. average rewards reaches 0.9 ***
train-brain-experiment-02.html:119 -----------------------------------------------------------------------
train-brain-experiment-02.html:156 # iterations done: 75600, average Reward: 0.6025
train-brain-experiment-02.html:156 # iterations done: 76000, average Reward: 0.52
train-brain-experiment-02.html:156 # iterations done: 76400, average Reward: 0.5125
train-brain-experiment-02.html:156 # iterations done: 76800, average Reward: 0.49
train-brain-experiment-02.html:156 # iterations done: 77200, average Reward: 0.4975
train-brain-experiment-02.html:156 # iterations done: 77600, average Reward: 0.5275
train-brain-experiment-02.html:156 # iterations done: 78000, average Reward: 0.4975
train-brain-experiment-02.html:156 # iterations done: 78400, average Reward: 0.5125
train-brain-experiment-02.html:156 # iterations done: 78800, average Reward: 0.61
train-brain-experiment-02.html:156 # iterations done: 79200, average Reward: 0.565
train-brain-experiment-02.html:156 # iterations done: 79600, average Reward: 0.475
train-brain-experiment-02.html:156 # iterations done: 80000, average Reward: 0.535
train-brain-experiment-02.html:156 # iterations done: 80400, average Reward: 0.52
train-brain-experiment-02.html:156 # iterations done: 80800, average Reward: 0.5875
train-brain-experiment-02.html:156 # iterations done: 81200, average Reward: 0.5725
train-brain-experiment-02.html:156 # iterations done: 81600, average Reward: 0.5725
train-brain-experiment-02.html:156 # iterations done: 82000, average Reward: 0.5275
train-brain-experiment-02.html:156 # iterations done: 82400, average Reward: 0.565
train-brain-experiment-02.html:156 # iterations done: 82800, average Reward: 0.61
train-brain-experiment-02.html:156 # iterations done: 83200, average Reward: 0.6175
train-brain-experiment-02.html:156 # iterations done: 83600, average Reward: 0.55
train-brain-experiment-02.html:156 # iterations done: 84000, average Reward: 0.505
train-brain-experiment-02.html:156 # iterations done: 84400, average Reward: 0.6475
train-brain-experiment-02.html:156 # iterations done: 84800, average Reward: 0.5725
train-brain-experiment-02.html:156 # iterations done: 85200, average Reward: 0.505
train-brain-experiment-02.html:156 # iterations done: 85600, average Reward: 0.6625
train-brain-experiment-02.html:156 # iterations done: 86000, average Reward: 0.5875
train-brain-experiment-02.html:156 # iterations done: 86400, average Reward: 0.4675
train-brain-experiment-02.html:156 # iterations done: 86800, average Reward: 0.595
train-brain-experiment-02.html:156 # iterations done: 87200, average Reward: 0.655
train-brain-experiment-02.html:156 # iterations done: 87600, average Reward: 0.5275
train-brain-experiment-02.html:156 # iterations done: 88000, average Reward: 0.58
train-brain-experiment-02.html:156 # iterations done: 88400, average Reward: 0.6475
train-brain-experiment-02.html:156 # iterations done: 88800, average Reward: 0.58
train-brain-experiment-02.html:156 # iterations done: 89200, average Reward: 0.5875
train-brain-experiment-02.html:156 # iterations done: 89600, average Reward: 0.5875
train-brain-experiment-02.html:156 # iterations done: 90000, average Reward: 0.5275
train-brain-experiment-02.html:156 # iterations done: 90400, average Reward: 0.5275
train-brain-experiment-02.html:156 # iterations done: 90800, average Reward: 0.625
train-brain-experiment-02.html:156 # iterations done: 91200, average Reward: 0.55
train-brain-experiment-02.html:156 # iterations done: 91600, average Reward: 0.64
train-brain-experiment-02.html:156 # iterations done: 92000, average Reward: 0.5575
train-brain-experiment-02.html:156 # iterations done: 92400, average Reward: 0.6325
train-brain-experiment-02.html:156 # iterations done: 92800, average Reward: 0.64
train-brain-experiment-02.html:156 # iterations done: 93200, average Reward: 0.5725
train-brain-experiment-02.html:156 # iterations done: 93600, average Reward: 0.6775
train-brain-experiment-02.html:156 # iterations done: 94000, average Reward: 0.5875
train-brain-experiment-02.html:156 # iterations done: 94400, average Reward: 0.655
train-brain-experiment-02.html:156 # iterations done: 94800, average Reward: 0.61
train-brain-experiment-02.html:156 # iterations done: 95200, average Reward: 0.6025
train-brain-experiment-02.html:156 # iterations done: 95600, average Reward: 0.5875
train-brain-experiment-02.html:156 # iterations done: 96000, average Reward: 0.535
train-brain-experiment-02.html:156 # iterations done: 96400, average Reward: 0.655
train-brain-experiment-02.html:156 # iterations done: 96800, average Reward: 0.5125
train-brain-experiment-02.html:156 # iterations done: 97200, average Reward: 0.6025
train-brain-experiment-02.html:156 # iterations done: 97600, average Reward: 0.625
train-brain-experiment-02.html:156 # iterations done: 98000, average Reward: 0.6625
train-brain-experiment-02.html:156 # iterations done: 98400, average Reward: 0.61
train-brain-experiment-02.html:156 # iterations done: 98800, average Reward: 0.6025
train-brain-experiment-02.html:156 # iterations done: 99200, average Reward: 0.715
train-brain-experiment-02.html:156 # iterations done: 99600, average Reward: 0.6175
train-brain-experiment-02.html:156 # iterations done: 100000, average Reward: 0.6025
train-brain-experiment-02.html:156 # iterations done: 100400, average Reward: 0.5575
train-brain-experiment-02.html:156 # iterations done: 100800, average Reward: 0.6175
train-brain-experiment-02.html:156 # iterations done: 101200, average Reward: 0.6325
train-brain-experiment-02.html:156 # iterations done: 101600, average Reward: 0.655
train-brain-experiment-02.html:156 # iterations done: 102000, average Reward: 0.7075
train-brain-experiment-02.html:156 # iterations done: 102400, average Reward: 0.5875
train-brain-experiment-02.html:156 # iterations done: 102800, average Reward: 0.595
train-brain-experiment-02.html:156 # iterations done: 103200, average Reward: 0.655
train-brain-experiment-02.html:156 # iterations done: 103600, average Reward: 0.64
train-brain-experiment-02.html:156 # iterations done: 104000, average Reward: 0.5275
train-brain-experiment-02.html:156 # iterations done: 104400, average Reward: 0.64
train-brain-experiment-02.html:156 # iterations done: 104800, average Reward: 0.685
train-brain-experiment-02.html:156 # iterations done: 105200, average Reward: 0.655
train-brain-experiment-02.html:156 # iterations done: 105600, average Reward: 0.6775
train-brain-experiment-02.html:156 # iterations done: 106000, average Reward: 0.6625
train-brain-experiment-02.html:156 # iterations done: 106400, average Reward: 0.625
train-brain-experiment-02.html:156 # iterations done: 106800, average Reward: 0.655
train-brain-experiment-02.html:156 # iterations done: 107200, average Reward: 0.6925
train-brain-experiment-02.html:156 # iterations done: 107600, average Reward: 0.7375
train-brain-experiment-02.html:156 # iterations done: 108000, average Reward: 0.6475
train-brain-experiment-02.html:156 # iterations done: 108400, average Reward: 0.6625
train-brain-experiment-02.html:156 # iterations done: 108800, average Reward: 0.6925
train-brain-experiment-02.html:156 # iterations done: 109200, average Reward: 0.6175
train-brain-experiment-02.html:156 # iterations done: 109600, average Reward: 0.7075
train-brain-experiment-02.html:156 # iterations done: 110000, average Reward: 0.685
train-brain-experiment-02.html:156 # iterations done: 110400, average Reward: 0.6175
train-brain-experiment-02.html:156 # iterations done: 110800, average Reward: 0.7375
train-brain-experiment-02.html:156 # iterations done: 111200, average Reward: 0.58
train-brain-experiment-02.html:156 # iterations done: 111600, average Reward: 0.7375
train-brain-experiment-02.html:156 # iterations done: 112000, average Reward: 0.6625
train-brain-experiment-02.html:156 # iterations done: 112400, average Reward: 0.6775
train-brain-experiment-02.html:156 # iterations done: 112800, average Reward: 0.6625
train-brain-experiment-02.html:156 # iterations done: 113200, average Reward: 0.6625
train-brain-experiment-02.html:156 # iterations done: 113600, average Reward: 0.6175
train-brain-experiment-02.html:156 # iterations done: 114000, average Reward: 0.625
train-brain-experiment-02.html:156 # iterations done: 114400, average Reward: 0.6925
train-brain-experiment-02.html:156 # iterations done: 114800, average Reward: 0.6625
train-brain-experiment-02.html:156 # iterations done: 115200, average Reward: 0.715
train-brain-experiment-02.html:156 # iterations done: 115600, average Reward: 0.6175
train-brain-experiment-02.html:156 # iterations done: 116000, average Reward: 0.7225
train-brain-experiment-02.html:156 # iterations done: 116400, average Reward: 0.6775
train-brain-experiment-02.html:156 # iterations done: 116800, average Reward: 0.715
train-brain-experiment-02.html:156 # iterations done: 117200, average Reward: 0.7
train-brain-experiment-02.html:156 # iterations done: 117600, average Reward: 0.67
train-brain-experiment-02.html:156 # iterations done: 118000, average Reward: 0.61
train-brain-experiment-02.html:156 # iterations done: 118400, average Reward: 0.7
train-brain-experiment-02.html:156 # iterations done: 118800, average Reward: 0.715
train-brain-experiment-02.html:156 # iterations done: 119200, average Reward: 0.6925
train-brain-experiment-02.html:156 # iterations done: 119600, average Reward: 0.655
train-brain-experiment-02.html:156 # iterations done: 120000, average Reward: 0.595
train-brain-experiment-02.html:156 # iterations done: 120400, average Reward: 0.7
train-brain-experiment-02.html:156 # iterations done: 120800, average Reward: 0.6475
train-brain-experiment-02.html:156 # iterations done: 121200, average Reward: 0.7525
train-brain-experiment-02.html:156 # iterations done: 121600, average Reward: 0.625
train-brain-experiment-02.html:156 # iterations done: 122000, average Reward: 0.7825
train-brain-experiment-02.html:156 # iterations done: 122400, average Reward: 0.73
train-brain-experiment-02.html:156 # iterations done: 122800, average Reward: 0.7825
train-brain-experiment-02.html:156 # iterations done: 123200, average Reward: 0.5875
train-brain-experiment-02.html:156 # iterations done: 123600, average Reward: 0.7525
train-brain-experiment-02.html:156 # iterations done: 124000, average Reward: 0.6325
train-brain-experiment-02.html:156 # iterations done: 124400, average Reward: 0.6775
train-brain-experiment-02.html:156 # iterations done: 124800, average Reward: 0.7225
train-brain-experiment-02.html:156 # iterations done: 125200, average Reward: 0.7525
train-brain-experiment-02.html:156 # iterations done: 125600, average Reward: 0.7675
train-brain-experiment-02.html:156 # iterations done: 126000, average Reward: 0.73
