actions, games, valid_actions, av_reward, av_kills, av_points, av_game_time, games_per_min
1848257,183600,0.9316860465116279,0.9593023255813954,1.92,23.5825,1012.661717500016,59.2497958233511
1852546,184000,0.9074376311494521,0.82280251806948,1.9775,24.34,1014.4885374999791,59.1431029352574
1856752,184400,0.9441274369947694,1.1176890156918688,2.055,25.075,1000.0742499999702,59.995545330760976
1860895,184800,0.9401399951725803,1.0794110547912141,2.0275,24.7925,1000.9577075000852,59.94259252955989
1865089,185200,0.9394372913686219,1.0581783500238435,1.98,24.265,1001.7849550000578,59.89309352324675
1869259,185600,0.9417266187050359,1.126378896882494,2.07,25.37,1000.0070475000143,59.99957715297916
1873390,186000,0.9428709755507141,1.0815783103364802,1.94,24.0175,999.8079024999589,60.01152806451484
1877565,186400,0.9233532934131736,0.9705389221556886,1.9375,23.925,1005.2754949999601,59.68513138779174
1881744,186800,0.9308446996889208,0.973917205072984,1.9225,23.88,1002.4816075000167,59.85147213785566
1885874,187200,0.9423728813559322,1.0462469733656174,1.9075,23.5425,1000.1588275000453,59.990471863327414
1890016,187600,0.9362626750362144,1.0451472718493482,1.9475,24.0025,999.7278499999643,60.01633344514924
1894242,188000,0.9264079507808802,0.9616658778987222,2.0025,24.4775,1002.6657400000096,59.840480836614034
1898418,188400,0.9394157088122606,1.0684865900383143,1.96,24.1675,999.9265599999577,60.00440672363232
1902529,188800,0.9442957917781561,1.095110678666991,1.955,24.0525,999.9985925000161,60.000084450117896
1906744,189200,0.9416370106761566,1.0704626334519574,2.035,25.025,1002.078777499944,59.87553209109186
1910897,189600,0.9313749097038285,0.9472670358776788,1.9125,23.6475,1000.2329325000196,59.98602730469367
1915129,190000,0.9458884688090737,1.0801039697542534,2.04,25.13,1000.6471575000137,59.96119566251721
1919352,190400,0.9381955955481885,1.0144447075538716,2.02,24.7725,1004.2878575000167,59.743826983389575
1923628,190800,0.9239943872778298,0.9742750233863424,2.0275,24.955,1011.9731375000625,59.29011134447854
1927867,191200,0.9330030667610285,0.9693323897145553,1.975,24.58,1006.1605750000476,59.63262871833073
1932010,191600,0.9459328988655563,1.0620323437122858,1.9875,24.35,999.7701499999315,60.013794170594224
1936238,192000,0.9434720908230843,1.1024124881740776,2.075,25.365,1002.1138799999654,59.87343474376592
1940521,192400,0.9378939995330375,1.069110436609853,2.0775,25.5775,945.3240474999697,63.47029905636874
1944577,192800,0.9477317554240631,1.0478303747534516,1.915,23.455,999.6542925000191,60.02074962329925
1948681,193200,0.9337231968810916,0.9895224171539961,1.865,23.235,1002.5086450000107,59.84985795309462
1952839,193600,0.9377104377104377,1.0182780182780182,2.005,24.465,1000.1312624999881,59.99212528365567
1956994,194000,0.937424789410349,1.0194945848375452,1.98,24.3875,1002.516670000106,59.84937886368877
1961209,194400,0.936417556346382,1.038908659549229,2.0075,24.9525,1000.0370549999923,59.99777678238179
1965500,194800,0.9321836401771149,0.9776275926357493,2.05,25.3125,1007.2051675000042,59.57078253373809
1969579,195200,0.9409168913949497,1.016425594508458,1.88,22.99,1000.8273049999774,59.9504027320691
1973662,195600,0.9402400195934362,1.038941954445261,1.875,23.4525,999.3500424999744,60.03902281317163
1977944,196000,0.9248014946286782,0.9535263895375993,1.98,24.975,1007.4853975000233,59.554213042575256
1982026,196400,0.9424301812836845,1.0749632533072024,1.93,24.065,913.5925449999422,65.67479159979769
1985987,196800,0.944206008583691,1.0621055289068417,1.8025,22.505,391.96154500000176,153.07624119095593
1990177,197200,0.9372315035799522,1.015035799522673,1.9525,24.27,999.336555000022,60.039833127087675
1994358,197600,0.9437933508729969,1.0741449414015787,2.045,24.805,902.5886975000053,66.47546126623156
1998504,198000,0.9387361312108056,1.072117703810902,1.955,24.24,1005.3285625000298,59.68198083499515
2002635,198400,0.9358508835633018,1.0150084725248123,1.91,23.535,1005.2496775000542,59.68666426157273
2006674,198800,0.9390938351077,1.0099034414459025,1.8825,23.2825,999.2755575000494,60.043498061841696
2010651,199200,0.9404073422177521,1.0143324113653507,1.8,22.1775,977.5337000000477,61.3789580860456
2014678,199600,0.9344425130370002,1.006953066799106,1.86,23.135,1000.0664524999261,59.99601311494291
2018797,200000,0.9410050983248361,1.0538965768390387,1.9775,24.4025,1000.3050225000084,59.981704230620814
2022931,200400,0.9400096758587324,0.9932268988872762,1.9425,24.0375,1000.1582649999857,59.99050560263166
2027020,200800,0.9359256541941795,0.9858156028368794,1.88,23.1325,885.0130974999815,67.79560683281441
2031049,201200,0.9461404815090593,1.1139240506329113,1.8975,23.41,1002.0220674999804,59.87892078035614
2035064,201600,0.9332503113325031,0.958904109589041,1.7825,22.1375,1008.7384025000035,59.48023774181611
2039270,202000,0.9386590584878745,1.0544460294816929,2.005,24.7,912.2941225000471,65.76826323902674
2043336,202400,0.9370388588293163,1.0014756517461878,1.89,23.3225,1007.2085575000197,59.57058203409757
2047709,202800,0.9195060599131031,0.9304825062885891,2.1175,25.88,1014.6005749999732,59.13657204462119
2051786,203200,0.9332842776551385,0.9494726514594064,1.85,23.2475,1004.8277099999785,59.711729088364095
2055938,203600,0.9429190751445087,1.1001926782273603,2.015,24.67,1017.6868500000238,58.957232276312304
2060066,204000,0.9382267441860465,0.997093023255814,1.9025,23.4125,999.9382249999792,60.00370672898443
2064321,204400,0.9337250293772033,1.0101057579318449,2.0575,25.2975,1004.8415275000036,59.7109079968829
2068416,204800,0.935042735042735,0.989010989010989,1.8525,23.2425,1002.7332775000483,59.836450376503144
2072566,205200,0.9421686746987952,1.0679518072289156,2.0025,24.56,1002.636685000062,59.842214929524836
2076795,205600,0.9340269567273587,0.9905414991723812,2.0225,24.8925,1006.962875000015,59.585116283456934
2080934,206000,0.9420149794636385,1.0565353950229524,2.0275,24.7525,1007.8048950000107,59.53533297732133
2085114,206400,0.9421052631578948,1.0736842105263158,2.0025,24.5825,1007.3265049999952,59.56360693596589
2089458,206800,0.9429097605893186,1.121316758747698,2.1225,25.9925,1006.4518624999374,59.61536983096768
2093684,207200,0.9458116422148604,1.0851869380028396,2.0825,25.4175,1011.3868275000154,59.324482352919595
2097938,207600,0.9421720733427362,1.1198871650211566,2.0875,25.505,1007.1703074999899,59.57284438709548
2102007,208000,0.9496190710248218,1.1216515114278693,1.9825,24.02,1005.2342500000447,59.68758028290156
2106199,208400,0.9446564885496184,1.0846851145038168,1.9775,24.6375,1002.0347275000065,59.87816425254544
2110346,208800,0.9389920424403183,1.0323125150711359,2.0025,24.4475,1004.9146774999797,59.706561505567436
2114466,209200,0.9410194174757281,1.079611650485437,1.91,23.95,975.4288550000638,61.51140566781375
2118627,209600,0.9365537130497477,1.0146599375150205,1.9625,24.16,1000.6443624999374,59.9613631461435
2122852,210000,0.9375147928994083,0.9978698224852071,1.99,24.3675,1001.3770474999397,59.9174907691337
2126919,210400,0.9441849028768133,1.0934349643471846,1.92,23.7925,1002.9036374999582,59.82628615204569
2131040,210800,0.9369085173501577,0.9771900024265955,1.9,23.2275,999.8725875000656,60.007645724156895
2135136,211200,0.93408203125,0.988525390625,1.8775,23.515,1000.0956699999422,59.99426034911587
2139366,211600,0.9281323877068558,0.9427895981087471,1.96,24.1525,1007.6195349999517,59.54628499734562
2143692,212000,0.9359685621821544,1.0122515025427647,2.13,26.0975,1010.1992525000126,59.39422331932408
2147899,212400,0.9408129308295697,1.0715474209650582,1.9975,24.6425,1004.7372049999237,59.71710781826234
2152147,212800,0.940442561205273,1.0341337099811676,2.045,25.5025,1009.9591074999422,59.408345896819824
2156431,213200,0.942110177404295,1.0716619981325863,2.14,25.9,1007.4856975000351,59.55419530905838
2160651,213600,0.9457345971563981,1.1035545023696682,2.12,25.9375,1004.909735000059,59.70685516346051
2164857,214000,0.9476937708036138,1.1545411317165954,2.08,25.59,999.9967674999684,60.00019395062884
2169140,214400,0.9348587438711183,1.0322204062572964,2.125,25.8425,1002.9279924999178,59.824833336681365
2173373,214800,0.9433026222537207,1.0985116938341601,2.12,25.82,999.5578025000542,60.02654358750478
2177560,215200,0.9453069023166946,1.1423453546692142,2.0875,25.44,999.721269999966,60.016728462726455
2181927,215600,0.9432104419509961,1.1481566292649417,2.22,27.09,1000.3344549999387,59.97993940936852
2186295,216000,0.9356684981684982,1.0512820512820513,2.19,26.665,1004.7331875000149,59.717346601531574
2190444,216400,0.9433598457459629,1.0154254037117378,1.9225,23.49,1000.1326524998992,59.99204190566716
2194725,216800,0.947909366970334,1.1478626489138053,2.1675,26.5225,1005.9086725000292,59.647562090183946
2198980,217200,0.9346650998824911,1.0032902467685076,2.075,25.2775,1009.1044650000334,59.45866070466551
2203266,217600,0.9344377041530565,0.9808679421371909,2.035,25.01,1002.5876999999583,59.84513873449923
2207448,218000,0.93974175035868,1.0506934481109518,2.03,24.965,1000.0564400000126,59.99661379111688
2211713,218400,0.9357561547479484,1.0330597889800703,2.06,25.5575,1002.2281249999255,59.86660971024382
2215944,218800,0.9428031198298275,1.0898132829118412,2.095,25.5675,1000.4452549999952,59.973296589827186
2220329,219200,0.9220068415051311,0.9587229190421893,2.175,26.465,1010.1120399998873,59.39935138284927
2224542,219600,0.9370994540707335,1.0460479468312367,2.0575,25.3175,1004.7538149999828,59.71612061010291
2228770,220000,0.934720908230842,1.0085146641438032,2.025,25.0125,1005.2147974999993,59.68873533221146
2232962,220400,0.9322519083969466,0.9856870229007634,1.9725,24.2775,1002.585169999972,59.84528975229274
2237163,220800,0.9333492025708164,0.954772673173054,1.9575,24.0875,999.6951150000095,60.018298678992174
2241360,221200,0.9363831308077198,1.0228734810578985,1.935,23.86,999.5834075000137,60.02500596729761
2245616,221600,0.943374060150376,1.0970394736842106,2.0825,25.6875,1000.5203799999505,59.96879343927304
2249694,222000,0.9455615497793036,1.0375183913683177,1.895,23.605,1002.2130650000274,59.8675093105061
2253849,222400,0.9468110709987966,1.1046931407942238,2.035,25.2075,797.1350249999762,75.26955674793213
2258042,222800,0.9461006439303601,1.0579537324111614,1.9825,24.5625,394.55926999993625,152.0684078719268
2262259,223200,0.940479013516718,1.0912971306616077,2.05,25.085,403.48452749997375,148.70458694355733
2266488,223600,0.9399385197446205,1.053204067155356,2.055,25.12,413.84587250001726,144.98151120257336
2270757,224000,0.9386273131881002,1.0482548606230968,2.1325,26,422.59718000002204,141.97917742848372
2274920,224400,0.9423492673552727,1.118184001921691,2.055,25.115,417.3824024999887,143.75306587105484
2279209,224800,0.9410118908836559,1.0629517370016321,2.1225,25.96,438.07461750000715,136.96296841484778
2283349,225200,0.9468599033816425,1.1330917874396136,1.9975,24.7825,425.583769999966,140.98281990406915
2287406,225600,0.9418289376386493,1.0019719004190288,1.8525,23.235,426.6012325000018,140.6465697447317
2291452,226000,0.9424122590212556,1.0388037567968365,1.8225,22.7625,430.5324200000614,139.3623272319224
2295554,226400,0.9383227693807898,1.0017064846416381,1.9025,23.83,443.4159374999255,135.3131336196279
2299704,226800,0.9395180722891566,1.0265060240963855,1.925,24.005,451.1319849999994,132.99877196692245
2303976,227200,0.9412453183520599,1.0758426966292134,2.11,25.8725,469.6303774999827,127.7600489120877
2308148,227600,0.9268935762224353,0.9340843720038351,1.9225,23.6575,466.3193699999899,128.66718360852414
2312300,228000,0.9409922928709056,1.0520231213872833,1.98,24.465,471.7814549999684,127.17752968904642
2316608,228400,0.9261838440111421,0.9614670380687094,2.0625,25.365,495.58533749997616,121.0689571702732
2320786,228800,0.9442316898037338,1.0940641455241742,2.02,24.74,487.7271025000513,123.01961423190275
2324933,229200,0.9380274897516276,1.016638533879913,1.92,24.0725,491.1646499999613,122.15862847622428
2328998,229600,0.9387453874538746,0.9879458794587946,1.8725,23.13,486.5848625000566,123.30839823442518
2333010,230000,0.9489032901296112,1.1286141575274178,1.905,23.54,484.30747999995947,123.88823728265568
2337326,230400,0.9369786839666358,1.0556070435588507,2.155,26.2125,530.4492000000179,113.1116796858172
2341559,230800,0.9343255374438932,1.022442712024569,2.04,24.8675,523.005502499938,114.7215463569757
2345885,231200,0.9315765141007859,1.0263522884882108,2.17,26.1825,495.28889750003816,121.1414192864991
2350144,231600,0.9427095562338577,1.10049307349143,2.13,26.29,474.86330749996006,126.35215029749386
2354356,232000,0.9404083570750238,1.0911680911680912,2.04,25.0625,476.2159449999779,125.99326131342113
2358419,232400,0.9460989416687177,1.063499876938223,1.8575,23.04,467.39839500010015,128.3701455585596
2362770,232800,0.923465869914962,0.9402436221558262,2.1175,25.865,507.1739375001192,118.30260895451848
2367053,233200,0.9257529768853607,0.9922951202428204,2.05,25.0375,505.71736499994995,118.6433453793028
2371311,233600,0.9363550962893377,1.0298262094880226,2.04,24.9,510.15548000000416,117.61120354916017
2375404,234000,0.9428292206205717,1.1275348155387246,2,24.4375,497.55762249991295,120.58904795496424
2379609,234400,0.929845422116528,0.9854934601664684,2.0125,24.615,516.3275174999237,116.20531148624839
2383797,234800,0.940305635148042,1.0940783190066858,2.0425,25.1675,519.965905000046,115.39218133926434
2388020,235200,0.9308548425290079,1.0099455363485674,1.985,24.6025,530.3120600000024,113.1409306437416
2392078,235600,0.9391325776244456,1.0206998521439132,1.875,23.1875,483.84307750009,124.00714775130547
2396345,236000,0.943754394187954,1.1136629950785095,2.1125,25.66,477.2912025000155,125.70941950265268
2400633,236400,0.9361007462686567,1.077891791044776,2.105,25.76,488.9405150000006,122.71431423513744
2404845,236800,0.9406457739791073,1.0698005698005697,2.0675,25.1925,485.807432499975,123.50572672640838
2408939,237200,0.9418661455788959,1.0859794821690278,1.92,23.6225,475.9891700000316,126.053288145182
2413061,237600,0.9442018437651626,1.0897622513343037,1.9225,23.995,486.9944000000507,123.20470214851291
2417244,238000,0.9428639732249582,1.0870188859670094,1.9975,24.7925,502.8896724999696,119.31046366835784
2421493,238400,0.9397505295363615,1.0503647917156977,2.045,24.9125,517.3437799999863,115.9770394842702
2425640,238800,0.9194598504943332,0.8779840848806366,1.845,22.9475,508.0894349999726,118.08944620153977
2429920,239200,0.9385514018691589,1.0724299065420562,2.1125,25.745,532.1599200000614,112.74806265002647
2434119,239600,0.929745177423196,0.9864253393665159,1.93,23.8875,527.8738124999404,113.66352825090517
2438235,240000,0.9361030126336248,1.0422740524781342,1.9475,23.6025,488.0608424999565,122.93549241251688
2442536,240400,0.935131364798884,1.0569634968611952,2.11,25.7225,476.22408250004054,125.99110839799853
2446747,240800,0.9408691522203753,1.089289954880076,2.0625,25.3725,478.2530649999529,125.45659273507407
2450961,241200,0.9397247271001424,1.0723777883246322,2.09,25.41,483.20630750000475,124.1705645574575
2455109,241600,0.932738669238187,0.9983124397299904,1.9075,23.6525,482.48035000003875,124.3573961094896
2459219,242000,0.9408759124087591,1.0778588807785887,1.96,24.32,484.80650749996306,123.76071498999953
2463411,242400,0.9293893129770993,0.987118320610687,1.97,24.265,499.12794249996546,120.20965947023524
2467604,242800,0.943000238492726,1.0872883377056999,1.9775,24.5675,506.14386499993503,118.54337106310219
2471879,243200,0.9307602339181287,1.007719298245614,2.0825,25.565,522.6354900000244,114.80276626448999
2476037,243600,0.9432419432419432,1.0685425685425685,1.9475,23.9625,516.82,116.0945783831895
2480221,244000,0.9421606118546845,1.0826959847036328,2,24.7375,523.1798950000107,114.68330601656392
2484400,244400,0.9325197415649676,1.0009571667863124,1.965,24.155,500.9979549999535,119.7609678865966
2488631,244800,0.9288584259040416,0.9747104703379815,1.95,24.075,471.7384399999678,127.1891262454764
2492960,245200,0.920997920997921,0.933933933933934,2.06,25.305,487.94572749994694,122.9644950626328
2497071,245600,0.9447822914132814,1.0902456823157383,1.9575,23.905,469.74762999996545,127.72815905426583
2501421,246000,0.9411494252873563,1.1114942528735632,2.2075,26.67,503.8546400000155,119.0819637981267
2505644,246400,0.9339332228273739,1.0421501302391665,2.01,24.7825,494.0540099999309,121.44421214192431
2509927,246800,0.9399953303759048,1.126313331776792,2.13,26.0875,509.7031899999827,117.7155669753647
2514203,247200,0.9359214218896165,1.0390551917680075,2.0475,24.9925,513.7872649999708,116.77985050875756
2518479,247600,0.9169784845650141,0.8921889616463985,2.0075,24.5625,524.4734549999982,114.40045140130152
